,px,black spot,scratch,wool,all
0,0.0,0.018518518518518517,0.012157330154946362,0.010442477876106193,0.013706108849857025
1,0.001001001001001001,0.018518518518518517,0.012157330154946362,0.010442477876106193,0.013706108849857025
2,0.002002002002002002,0.018518518518518517,0.012157330154946362,0.010442477876106193,0.013706108849857025
3,0.003003003003003003,0.018518518518518517,0.012157330154946362,0.010442477876106193,0.013706108849857025
4,0.004004004004004004,0.018518518518518517,0.012157330154946362,0.010442477876106193,0.013706108849857025
5,0.005005005005005005,0.018518518518518517,0.012157330154946362,0.010442477876106193,0.013706108849857025
6,0.006006006006006006,0.01852216027318362,0.012157335878677887,0.010442922106253411,0.013707472752704973
7,0.007007007007007007,0.01866698777513188,0.012192126388407809,0.010501153455132872,0.013786755872890855
8,0.008008008008008008,0.01924779666541323,0.01239978683332602,0.010913152890273163,0.014186912129670805
9,0.009009009009009009,0.020598816560466714,0.012841876787953602,0.012059008861234599,0.015166567403218305
10,0.01001001001001001,0.023650055922468185,0.013500314063280696,0.014395512115295937,0.017181960700348272
11,0.011011011011011011,0.02863877469899789,0.01449796449810081,0.01723698829922409,0.020124575832107597
12,0.012012012012012012,0.03669523758775637,0.015810336767528934,0.020339025747634607,0.024281533367639968
13,0.013013013013013013,0.04601626253833481,0.017117893935712628,0.02292212102349406,0.028685425832513833
14,0.014014014014014014,0.055904368336919905,0.01862302424494833,0.025172546335219478,0.03323331297236257
15,0.015015015015015015,0.06513331616551943,0.020295087916455987,0.02681717211735375,0.03741519206644305
16,0.016016016016016016,0.07271629693636672,0.02190186961532363,0.02802577813753489,0.040881314896408415
17,0.017017017017017015,0.07936853457590336,0.023911696921936888,0.029212854444704294,0.04416436198084817
18,0.018018018018018018,0.08606459110253,0.025929527548755306,0.030200223731258146,0.04739811412751448
19,0.01901901901901902,0.09253098670928318,0.02821645152525134,0.031432982545865386,0.05072680692679996
20,0.02002002002002002,0.0994786304533299,0.03049150708135742,0.03291874831672014,0.05429629528380248
21,0.02102102102102102,0.10660968499935129,0.032908684434833635,0.034245104085646884,0.05792115783994394
22,0.022022022022022022,0.11272024995717177,0.03563367917172362,0.03582103845710588,0.061391655862000426
23,0.023023023023023025,0.11783831631767,0.03829653784223304,0.03746463533014063,0.06453316316334788
24,0.024024024024024024,0.12410391308289559,0.041335121791409,0.03943420760978689,0.0682910808280305
25,0.025025025025025023,0.1295688959602342,0.04437748923184326,0.04140367887538835,0.07178335468915527
26,0.026026026026026026,0.1348681602354096,0.04774926946092534,0.043581939853088295,0.07539978984980773
27,0.02702702702702703,0.14014873866955638,0.05128474051202101,0.04578453211926513,0.07907267043361417
28,0.028028028028028028,0.1441010563752346,0.054669195775808144,0.04778248852845197,0.0821842468931649
29,0.029029029029029027,0.1478694655953109,0.05800266637365763,0.05004239885276187,0.08530484360724346
30,0.03003003003003003,0.15275836614539665,0.06153549749454448,0.05245316729198149,0.08891567697730755
31,0.031031031031031032,0.1568122154603358,0.06549130516743007,0.05494575545359845,0.09241642536045476
32,0.03203203203203203,0.162298317335557,0.06918230597222914,0.05732917849724442,0.0962699339350102
33,0.03303303303303303,0.16610652371678986,0.07309824202331937,0.059999382322372355,0.09973471602082719
34,0.03403403403403403,0.1711666416518592,0.07733899842280512,0.06237810440053431,0.10362791482506621
35,0.035035035035035036,0.17551548899100922,0.08150078205070031,0.06462672165485002,0.10721433089885318
36,0.036036036036036036,0.1801477873134076,0.08587875905528865,0.06695149550707948,0.11099268062525858
37,0.037037037037037035,0.1836647448270204,0.09000993613646777,0.06925328574038579,0.11430932223462464
38,0.03803803803803804,0.18879676895462522,0.09560421680961506,0.07185115539177421,0.1187507137186715
39,0.03903903903903904,0.19399614327309656,0.0999915176160231,0.07415163887876927,0.12271309992262965
40,0.04004004004004004,0.1976973354591547,0.10549643754722776,0.07659204614243474,0.12659527304960574
41,0.04104104104104104,0.20306891564369906,0.1106474760664543,0.07929566065570681,0.13100401745528673
42,0.04204204204204204,0.20699393310050057,0.1158116185943911,0.0819273586787968,0.13491097012456282
43,0.043043043043043044,0.21109268660807975,0.12237347149132544,0.08472014158470162,0.1393954332280356
44,0.044044044044044044,0.2149425587116366,0.1293590052748651,0.0873142073636729,0.14387192378339153
45,0.04504504504504504,0.21740342978658608,0.13490245760709266,0.08992694532207661,0.1474109442385851
46,0.04604604604604605,0.22192339381528334,0.14160314767385335,0.09255610102219257,0.15202754750377642
47,0.04704704704704705,0.22798934079469196,0.14844277710808712,0.09456657411911612,0.1569995640072984
48,0.04804804804804805,0.23110968473474322,0.15624565218693018,0.09697343581981163,0.16144292424716167
49,0.04904904904904905,0.23589603679559393,0.1633385790967724,0.09903989210628741,0.1660915026662179
50,0.050050050050050046,0.24191075964178138,0.17081576992063544,0.10165964374822921,0.17146205777021536
51,0.05105105105105105,0.24601819755521964,0.1765683060458841,0.1037156695662789,0.17543405772246087
52,0.05205205205205205,0.2518208359091382,0.18541416676418604,0.10595759731879278,0.18106419999737233
53,0.05305305305305305,0.2571255174970934,0.19150741121015888,0.10840161881062273,0.18567818250595833
54,0.05405405405405406,0.2593013478649852,0.19718174587375273,0.11068594166517108,0.18905634513463634
55,0.055055055055055056,0.2628440210665011,0.20457026357408967,0.11299079229920757,0.19346835897993278
56,0.056056056056056056,0.269102757056704,0.21175699924410368,0.11540978815197557,0.1987565148175944
57,0.057057057057057055,0.2738357638970916,0.21992231828428885,0.11754266961945459,0.20376691726694499
58,0.058058058058058054,0.2782150258882771,0.2257951050360677,0.11994399052175193,0.2079847071486989
