                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.76029,                0.62376,                0.20777,                 0.6172,                0.62304,                0.65095,                0.43729,                0.03524,                0.39058,                0.65651,                0.57443,                0.21553,             7.2028e-05,             7.2028e-05,             7.2028e-05
                     31,                0.75212,                 0.6193,                0.20445,                0.65133,                0.63405,                0.63571,                0.44179,                0.07467,                0.39686,                0.64152,                0.56896,                0.20413,             7.1029e-05,             7.1029e-05,             7.1029e-05
                     32,                0.76297,                0.61485,                0.21114,                0.64497,                0.62533,                0.63784,                0.44606,                0.05254,                0.38797,                0.62659,                0.59565,                0.20426,              7.003e-05,              7.003e-05,              7.003e-05
                     33,                0.73981,                0.60558,                0.19958,                0.66659,                0.62755,                0.64035,                 0.4627,                0.09332,                0.41108,                0.62312,                0.55228,                0.19588,             6.9031e-05,             6.9031e-05,             6.9031e-05
                     34,                0.72982,                0.61623,                0.19528,                0.62123,                  0.618,                0.62858,                0.42806,                0.05437,                0.38312,                0.64036,                0.58332,                0.20642,             6.8032e-05,             6.8032e-05,             6.8032e-05
                     35,                0.72381,                 0.5971,                0.19672,                0.66055,                0.64019,                0.65112,                0.45345,                0.07429,                0.40665,                0.62602,                0.55717,                 0.2081,             6.7033e-05,             6.7033e-05,             6.7033e-05
                     36,                  0.721,                0.59611,                0.18965,                0.68439,                0.63854,                0.65927,                0.50028,                0.11967,                0.43382,                0.60225,                0.53814,                0.18004,             6.6034e-05,             6.6034e-05,             6.6034e-05
                     37,                0.71625,                0.58489,                0.19069,                0.70672,                  0.648,                0.65716,                0.48539,                0.11208,                0.42436,                0.60656,                0.54174,                  0.194,             6.5035e-05,             6.5035e-05,             6.5035e-05
                     38,                0.71686,                 0.5847,                0.19177,                0.71651,                0.63263,                0.65112,                0.46003,                0.10438,                0.41533,                0.60791,                0.55656,                0.19117,             6.4036e-05,             6.4036e-05,             6.4036e-05
                     39,                0.71262,                0.57693,                0.18106,                0.69798,                0.64256,                0.66142,                0.47415,                 0.0722,                0.42192,                0.61982,                0.54548,                0.20163,             6.3037e-05,             6.3037e-05,             6.3037e-05
                     40,                0.71686,                0.58939,                0.19453,                0.66335,                0.64185,                0.66721,                0.48985,                0.09005,                0.42389,                 0.6093,                0.54691,                0.19807,             6.2038e-05,             6.2038e-05,             6.2038e-05
                     41,                0.70418,                 0.5954,                0.18712,                0.66731,                 0.6431,                0.64947,                0.47401,                0.11213,                0.42705,                0.60314,                0.55155,                0.19056,             6.1039e-05,             6.1039e-05,             6.1039e-05
                     42,                0.71217,                 0.5866,                0.18748,                0.70569,                0.64955,                0.66989,                 0.4955,                0.10795,                0.43407,                0.57396,                0.54317,                0.17322,              6.004e-05,              6.004e-05,              6.004e-05
                     43,                0.68714,                0.58643,                0.17674,                0.68314,                0.63766,                0.66509,                0.47612,                0.10224,                0.42786,                 0.6017,                0.55739,                0.18718,             5.9041e-05,             5.9041e-05,             5.9041e-05
                     44,                 0.6751,                0.57511,                0.17246,                0.70842,                0.67025,                0.66709,                 0.4808,                0.10566,                0.42787,                0.61714,                0.53291,                0.19618,             5.8042e-05,             5.8042e-05,             5.8042e-05
                     45,                0.68787,                 0.5826,                 0.1807,                0.72253,                0.64778,                0.67435,                0.48198,                0.15258,                0.44013,                0.57769,                0.53599,                0.17064,             5.7043e-05,             5.7043e-05,             5.7043e-05
