                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.73318,                0.72908,                0.23232,                0.65565,                0.61348,                 0.6712,                0.40464,                0.04217,                 0.3823,                0.53766,                0.65271,                0.21073,                 0.0001,                 0.0001,                 0.0001
                     32,                0.72588,                0.73779,                0.22653,                0.68012,                0.60143,                0.66455,                0.33961,                0.01716,                 0.3516,                0.56537,                0.65634,                0.23812,                 0.0001,                 0.0001,                 0.0001
                     33,                0.72039,                0.72318,                 0.2202,                0.63823,                 0.6347,                 0.6785,                0.39947,                0.03411,                0.38642,                0.53503,                0.65066,                0.21851,                 0.0001,                 0.0001,                 0.0001
                     34,                0.69168,                0.71603,                0.21758,                0.65621,                0.62961,                0.67709,                 0.2722,                0.01058,                0.32877,                0.58173,                0.61819,                0.23788,                 0.0001,                 0.0001,                 0.0001
                     35,                0.69306,                0.70843,                0.22387,                0.62418,                0.62854,                0.67362,                0.39627,                0.04306,                0.38839,                0.52953,                 0.6281,                0.20878,                 0.0001,                 0.0001,                 0.0001
                     36,                0.70614,                0.70212,                0.22264,                0.66451,                0.65976,                0.68854,                 0.4226,                0.03608,                0.39747,                0.52255,                0.61231,                0.20591,                 0.0001,                 0.0001,                 0.0001
                     37,                0.70431,                0.71438,                0.21499,                0.67377,                0.65421,                0.70151,                0.45114,                0.07522,                0.41938,                0.51136,                0.57927,                0.19415,                 0.0001,                 0.0001,                 0.0001
                     38,                0.70093,                0.69942,                0.22117,                0.67252,                0.64751,                0.70275,                0.42385,                 0.0331,                 0.4011,                 0.5147,                 0.6054,                0.20665,                 0.0001,                 0.0001,                 0.0001
                     39,                0.69154,                0.70043,                0.22243,                0.64067,                0.63109,                0.68888,                0.37954,                0.06135,                0.38644,                0.52437,                0.62382,                0.20957,                 0.0001,                 0.0001,                 0.0001
                     40,                0.69833,                0.70123,                  0.219,                0.69182,                0.66829,                0.70307,                0.46141,                0.03148,                0.41249,                0.51243,                0.59176,                0.20392,                 0.0001,                 0.0001,                 0.0001
                     41,                0.68708,                0.70758,                0.21254,                0.72379,                0.63677,                 0.7092,                0.43977,                0.05436,                0.41341,                0.51577,                 0.5967,                0.19745,                 0.0001,                 0.0001,                 0.0001
                     42,                0.68988,                0.70083,                0.21387,                0.69536,                0.65953,                0.70761,                0.43725,                0.06633,                0.41811,                0.51206,                0.58347,                 0.2045,                 0.0001,                 0.0001,                 0.0001
                     43,                0.68968,                0.67877,                0.20884,                0.70106,                0.66558,                 0.7288,                0.37824,                0.02463,                0.39556,                 0.5268,                0.57673,                0.21046,                 0.0001,                 0.0001,                 0.0001
                     44,                0.67396,                0.69787,                0.21281,                0.68258,                0.66539,                0.72828,                0.40864,                 0.0513,                0.41101,                0.52147,                0.58333,                0.20404,                 0.0001,                 0.0001,                 0.0001
                     45,                0.68787,                0.70303,                0.20933,                0.69726,                  0.678,                0.72408,                0.45714,                0.05104,                0.42762,                0.49989,                 0.5843,                0.19287,                 0.0001,                 0.0001,                 0.0001
                     46,                0.66875,                0.68671,                 0.2083,                0.71042,                0.65032,                0.72367,                 0.4083,                0.05549,                0.41074,                0.50844,                0.59901,                0.20255,                 0.0001,                 0.0001,                 0.0001
                     47,                0.67918,                0.69805,                0.20204,                0.70208,                0.68301,                0.73145,                0.46347,                0.07886,                0.43471,                0.49516,                 0.5718,                0.18084,                 0.0001,                 0.0001,                 0.0001
                     48,                0.67498,                0.67185,                0.20683,                0.69491,                0.66979,                0.72396,                0.45548,                0.07621,                0.43403,                0.49569,                0.57422,                0.19543,                 0.0001,                 0.0001,                 0.0001
                     49,                0.67084,                0.67972,                0.20898,                0.72432,                0.66835,                0.72775,                0.38408,                0.03076,                0.39151,                0.53343,                0.58056,                0.19909,                 0.0001,                 0.0001,                 0.0001
                     50,                0.65458,                0.66059,                0.19601,                0.75655,                0.69077,                0.74464,                0.48384,                0.09984,                0.45734,                0.48666,                0.52472,                 0.1841,                 0.0001,                 0.0001,                 0.0001
                     51,                 0.6358,                0.66041,                0.19159,                0.74244,                0.68964,                0.74594,                0.49033,                0.10334,                 0.4518,                0.49147,                 0.5346,                0.18591,                 0.0001,                 0.0001,                 0.0001
                     52,                0.65453,                0.66657,                0.19909,                0.73301,                0.69883,                0.75311,                 0.4852,                0.10298,                0.45817,                0.48229,                0.53605,                0.17726,                 0.0001,                 0.0001,                 0.0001
                     53,                 0.6471,                 0.6722,                0.19054,                0.74199,                0.69575,                0.75717,                0.51522,                0.07505,                 0.4659,                 0.4761,                0.53477,                0.17612,                 0.0001,                 0.0001,                 0.0001
                     54,                0.64527,                0.67205,                0.19595,                0.73586,                0.66326,                0.73554,                0.47754,                0.04121,                0.43441,                0.50525,                 0.5465,                0.19849,                 0.0001,                 0.0001,                 0.0001
                     55,                0.64401,                0.66104,                0.19477,                0.72376,                 0.6766,                 0.7387,                0.49002,                 0.1136,                0.45724,                0.48237,                0.53664,                0.18585,                 0.0001,                 0.0001,                 0.0001
                     56,                0.64203,                0.66936,                0.19697,                0.71614,                0.67263,                0.74191,                0.49697,                0.08883,                0.45695,                0.47914,                0.54564,                0.18555,                 0.0001,                 0.0001,                 0.0001
                     57,                 0.6437,                0.65469,                 0.1962,                0.74367,                 0.7003,                0.75578,                0.46666,                0.05873,                 0.4487,                0.48155,                0.53774,                 0.1808,                 0.0001,                 0.0001,                 0.0001
                     58,                0.63255,                0.66222,                 0.1912,                 0.7443,                0.66984,                0.74205,                0.50157,                 0.1419,                0.46791,                 0.4726,                0.53195,                0.17528,                 0.0001,                 0.0001,                 0.0001
                     59,                0.64698,                0.65495,                0.19239,                0.75418,                0.68945,                0.74485,                0.50599,                0.11513,                0.46217,                0.47538,                0.51947,                0.17354,                 0.0001,                 0.0001,                 0.0001
                     60,                0.64575,                 0.6581,                 0.1889,                0.74474,                0.69189,                0.74872,                0.51739,                0.12795,                0.47283,                 0.4638,                 0.5273,                0.16831,                 0.0001,                 0.0001,                 0.0001
                     61,                0.63294,                0.63652,                0.18586,                0.73609,                 0.6942,                0.75055,                0.49594,                0.08552,                0.46756,                0.47006,                0.51766,                0.17117,                 0.0001,                 0.0001,                 0.0001
                     62,                0.62861,                0.65384,                0.19307,                 0.7556,                0.68257,                0.74706,                0.50736,                0.08624,                0.46455,                0.46502,                0.53997,                0.17405,                 0.0001,                 0.0001,                 0.0001
                     63,                0.63204,                0.65674,                0.19043,                0.77378,                0.68121,                0.74985,                0.46663,                0.10219,                0.45003,                0.48272,                 0.5359,                0.18005,                 0.0001,                 0.0001,                 0.0001
                     64,                0.63611,                 0.6596,                0.18413,                0.75056,                 0.6959,                0.74856,                 0.5087,                 0.1491,                0.48292,                0.45557,                0.53301,                0.16762,                 0.0001,                 0.0001,                 0.0001
                     65,                0.63469,                0.64133,                0.18481,                0.75839,                  0.703,                0.75559,                0.52896,                0.17289,                0.49354,                0.45324,                0.50597,                0.16309,                 0.0001,                 0.0001,                 0.0001
                     66,                0.62638,                0.63563,                0.18511,                0.77417,                0.69885,                 0.7548,                0.51104,                  0.138,                0.48234,                0.46478,                0.50747,                0.16919,                 0.0001,                 0.0001,                 0.0001
                     67,                0.61483,                0.62015,                0.18063,                0.78375,                0.69522,                0.75908,                0.52905,                0.20223,                 0.4932,                0.45318,                0.49038,                0.16924,                 0.0001,                 0.0001,                 0.0001
                     68,                0.62866,                0.62931,                0.18436,                0.75709,                0.70466,                0.75845,                0.52084,                 0.1376,                0.48358,                0.45821,                0.51512,                0.16806,                 0.0001,                 0.0001,                 0.0001
                     69,                0.61263,                0.64667,                0.18093,                0.77023,                0.69845,                0.76186,                0.49171,                0.12166,                0.47168,                0.46176,                0.52041,                0.16636,                 0.0001,                 0.0001,                 0.0001
                     70,                0.62136,                0.63366,                0.17809,                0.78231,                0.69943,                0.75836,                 0.5362,                0.20952,                0.50331,                0.44502,                0.50106,                0.15921,                 0.0001,                 0.0001,                 0.0001
                     71,                0.60621,                0.62296,                0.17431,                0.78934,                0.69781,                0.76937,                0.53606,                0.18031,                0.49589,                0.43941,                0.50241,                0.16071,                 0.0001,                 0.0001,                 0.0001
                     72,                0.60932,                 0.6304,                0.17188,                0.78955,                0.69295,                0.76338,                0.52637,                0.17363,                0.49579,                0.44264,                0.49885,                0.15812,                 0.0001,                 0.0001,                 0.0001
                     73,                 0.6309,                0.63243,                0.17948,                 0.7766,                0.70971,                0.76778,                0.54446,                0.17873,                  0.498,                0.43525,                0.51532,                0.15568,                 0.0001,                 0.0001,                 0.0001
                     74,                0.60909,                0.62936,                0.17304,                0.78263,                0.69362,                0.76621,                0.52599,                0.13794,                0.49105,                0.44481,                0.50724,                0.16473,                 0.0001,                 0.0001,                 0.0001
                     75,                0.60802,                0.62918,                0.17214,                0.80871,                0.70544,                0.77509,                0.55201,                0.13274,                0.49948,                0.44959,                0.49647,                0.15891,                 0.0001,                 0.0001,                 0.0001
                     76,                0.60276,                0.61679,                0.17551,                0.78719,                0.70439,                 0.7673,                0.53343,                0.12768,                 0.4898,                0.44953,                0.49705,                 0.1634,                 0.0001,                 0.0001,                 0.0001
                     77,                0.59807,                0.62623,                0.17766,                0.76808,                0.70126,                0.76146,                0.54605,                0.21397,                0.50748,                0.43612,                0.49226,                0.16212,                 0.0001,                 0.0001,                 0.0001
                     78,                0.60119,                0.61306,                0.17006,                 0.8155,                 0.6999,                0.77127,                0.53656,                0.18947,                0.50461,                0.43347,                0.49225,                0.15682,                 0.0001,                 0.0001,                 0.0001
                     79,                0.59455,                0.61139,                0.17196,                 0.7672,                0.72705,                0.76427,                0.54874,                0.21332,                0.50372,                0.44058,                0.49681,                0.16267,                 0.0001,                 0.0001,                 0.0001
                     80,                 0.6002,                0.62532,                0.17822,                0.79151,                0.71399,                0.77316,                0.54297,                0.18736,                0.49758,                0.44537,                0.49326,                0.16304,                 0.0001,                 0.0001,                 0.0001
                     81,                0.60515,                 0.6207,                0.17323,                0.79817,                0.69925,                0.75879,                0.53454,                0.16379,                0.49151,                0.45157,                0.50085,                0.16082,                 0.0001,                 0.0001,                 0.0001
                     82,                0.59224,                0.62545,                0.17097,                0.77055,                0.70127,                0.76715,                 0.5337,                 0.2177,                0.50365,                0.43861,                 0.5071,                0.16386,                 0.0001,                 0.0001,                 0.0001
                     83,                 0.5944,                0.60401,                0.16829,                 0.8128,                0.69508,                0.77323,                0.53256,                0.22738,                0.50729,                0.43961,                0.49157,                0.15709,                 0.0001,                 0.0001,                 0.0001
                     84,                0.58581,                0.61091,                0.16583,                0.79997,                0.70566,                0.77104,                0.54521,                0.21761,                0.50965,                0.44138,                0.48337,                0.16343,                 0.0001,                 0.0001,                 0.0001
                     85,                0.61368,                0.62123,                0.16847,                0.79454,                0.71256,                 0.7689,                0.54082,                0.22673,                0.50756,                0.43895,                0.48106,                0.15789,                 0.0001,                 0.0001,                 0.0001
                     86,                0.60342,                0.61049,                0.16583,                0.79947,                0.70399,                0.76967,                0.54323,                0.19476,                0.51058,                0.43177,                0.48719,                0.15487,                 0.0001,                 0.0001,                 0.0001
                     87,                0.59392,                 0.6205,                0.16612,                0.78628,                0.71551,                0.76907,                0.54617,                0.22337,                0.51959,                0.42015,                0.49305,                0.15267,                 0.0001,                 0.0001,                 0.0001
                     88,                0.58904,                0.61158,                  0.166,                0.81824,                   0.71,                0.77094,                0.54626,                0.17773,                0.50737,                0.42871,                0.49871,                0.15665,                 0.0001,                 0.0001,                 0.0001
                     89,                0.59066,                0.59895,                0.16773,                0.79898,                0.71593,                0.76796,                0.53314,                0.21591,                0.50505,                0.44159,                0.49239,                 0.1575,                 0.0001,                 0.0001,                 0.0001
                     90,                0.58628,                0.60469,                0.15623,                 0.8119,                0.70299,                0.76618,                0.54665,                0.15693,                 0.4957,                 0.4446,                0.49971,                0.16178,                 0.0001,                 0.0001,                 0.0001
                     91,                0.57826,                 0.6133,                0.16445,                 0.8148,                0.70412,                0.77064,                0.54676,                0.25538,                0.52167,                0.42502,                0.49145,                0.15126,                 0.0001,                 0.0001,                 0.0001
                     92,                0.58335,                0.60641,                0.16448,                0.81165,                0.70944,                0.76828,                 0.5472,                0.22932,                0.51635,                 0.4306,                  0.483,                0.15715,                 0.0001,                 0.0001,                 0.0001
                     93,                0.58506,                0.59812,                0.16731,                0.80439,                0.70689,                0.76745,                0.55596,                0.24868,                0.52283,                0.42097,                 0.4847,                0.15131,                 0.0001,                 0.0001,                 0.0001
                     94,                0.58564,                 0.5955,                0.16559,                0.78944,                0.71061,                0.76474,                0.54892,                0.19872,                0.50841,                0.43293,                0.49534,                0.15589,                 0.0001,                 0.0001,                 0.0001
                     95,                0.58622,                 0.6009,                0.16088,                0.79672,                0.71652,                0.76788,                0.54694,                 0.2523,                0.51825,                0.41855,                0.48903,                0.15213,                 0.0001,                 0.0001,                 0.0001
                     96,                0.57646,                 0.5993,                0.15626,                0.80017,                0.72595,                 0.7779,                 0.5543,                0.26145,                0.52287,                0.41887,                0.48344,                 0.1482,                 0.0001,                 0.0001,                 0.0001
                     97,                0.58682,                0.59237,                0.16389,                0.81667,                0.71737,                 0.7807,                0.55164,                0.25033,                0.52553,                0.41519,                0.48154,                0.15227,                 0.0001,                 0.0001,                 0.0001
                     98,                0.58005,                0.58859,                0.15991,                 0.8087,                 0.7138,                0.77255,                0.54746,                0.26841,                0.52284,                0.41587,                0.48446,                 0.1511,                 0.0001,                 0.0001,                 0.0001
                     99,                0.58061,                0.59218,                0.15994,                0.80191,                0.72131,                0.77462,                0.55595,                0.26405,                0.53012,                0.41534,                0.48016,                0.14902,                 0.0001,                 0.0001,                 0.0001
                    100,                0.59441,                0.59948,                0.16109,                0.82569,                0.71022,                0.77135,                0.53623,                0.28135,                0.52165,                0.41999,                0.47705,                0.15101,                 0.0001,                 0.0001,                 0.0001
                    101,                0.50056,                 0.5299,                 0.1583,                0.80842,                 0.7299,                 0.7846,                0.54287,                0.25468,                0.52152,                0.42486,                0.47553,                0.15527,                 0.0001,                 0.0001,                 0.0001
                    102,                0.48443,                0.52013,                0.14719,                0.82314,                0.71838,                0.78298,                0.55176,                0.21102,                0.51917,                  0.421,                0.47709,                0.15124,                 0.0001,                 0.0001,                 0.0001
                    103,                0.48808,                0.51799,                0.14278,                0.81364,                0.71406,                0.77054,                0.54997,                0.27109,                0.52479,                0.41802,                0.48035,                0.15371,                 0.0001,                 0.0001,                 0.0001
