                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 0.7322,                0.57341,                 0.1923,                0.69152,                 0.6537,                0.68166,                0.43412,                0.03924,                0.40747,                0.63381,                0.54882,                0.20798,             7.2028e-05,             7.2028e-05,             7.2028e-05
                     31,                0.73264,                0.57797,                0.18766,                0.65606,                0.63691,                0.66768,                0.41823,                0.05086,                0.39529,                0.65523,                0.54995,                0.20947,             7.1029e-05,             7.1029e-05,             7.1029e-05
                     32,                0.71658,                0.58531,                0.18871,                0.68315,                0.65671,                0.67908,                0.47119,                0.05489,                0.41474,                 0.6157,                0.55174,                0.20665,              7.003e-05,              7.003e-05,              7.003e-05
                     33,                0.71051,                0.57515,                0.18734,                0.68734,                0.66257,                0.67343,                0.47237,                0.06583,                 0.4142,                0.61943,                0.55252,                0.19714,             6.9031e-05,             6.9031e-05,             6.9031e-05
                     34,                0.70613,                0.56992,                0.18568,                0.68237,                0.65675,                 0.6908,                0.49241,                0.08369,                0.43585,                0.59611,                0.54612,                0.18872,             6.8032e-05,             6.8032e-05,             6.8032e-05
                     35,                 0.7074,                0.56847,                0.18223,                0.67495,                0.64908,                0.67364,                0.50908,                0.08126,                 0.4283,                0.62476,                0.52096,                0.19791,             6.7033e-05,             6.7033e-05,             6.7033e-05
                     36,                0.70299,                 0.5546,                0.18214,                0.69504,                0.67631,                0.69754,                0.50903,                0.11946,                 0.4506,                0.59016,                0.52364,                0.17578,             6.6034e-05,             6.6034e-05,             6.6034e-05
                     37,                 0.6997,                0.55171,                0.17951,                0.73549,                0.68331,                0.69906,                0.51156,                 0.1111,                 0.4496,                0.59059,                0.51401,                0.18298,             6.5035e-05,             6.5035e-05,             6.5035e-05
                     38,                0.68447,                0.55251,                0.17432,                0.70236,                 0.6514,                0.68836,                0.50086,                0.10505,                0.43952,                0.60232,                0.52455,                0.18931,             6.4036e-05,             6.4036e-05,             6.4036e-05
                     39,                0.68669,                0.55142,                0.16899,                0.75738,                0.66121,                0.70006,                0.50583,                0.13808,                0.45992,                0.58771,                0.50119,                0.17525,             6.3037e-05,             6.3037e-05,             6.3037e-05
                     40,                0.67395,                0.55541,                0.17398,                0.70017,                0.68752,                0.70203,                0.49924,                0.10116,                0.44978,                0.58485,                0.52247,                0.18817,             6.2038e-05,             6.2038e-05,             6.2038e-05
                     41,                0.67442,                0.55905,                0.17116,                0.71279,                0.67111,                0.69311,                0.46937,                0.07858,                0.42762,                 0.5934,                0.53184,                0.19109,             6.1039e-05,             6.1039e-05,             6.1039e-05
                     42,                0.67824,                0.54195,                 0.1685,                0.74226,                0.69075,                0.71912,                0.52092,                 0.1435,                0.46719,                0.56624,                0.50246,                0.17755,              6.004e-05,              6.004e-05,              6.004e-05
                     43,                0.66612,                0.53856,                0.16533,                0.75486,                0.67748,                0.71275,                0.52915,                0.14682,                0.46674,                0.56891,                0.49363,                0.17395,             5.9041e-05,             5.9041e-05,             5.9041e-05
                     44,                0.66913,                0.53601,                0.16474,                0.75924,                0.66733,                 0.7161,                0.51023,                0.15279,                0.45991,                0.58413,                0.50009,                0.18399,             5.8042e-05,             5.8042e-05,             5.8042e-05
                     45,                0.64684,                0.53922,                0.16217,                0.74163,                0.69383,                0.71665,                0.51576,                0.18198,                0.47491,                0.55628,                0.50007,                0.16974,             5.7043e-05,             5.7043e-05,             5.7043e-05
                     46,                0.63095,                0.53986,                0.15685,                0.71352,                 0.6942,                0.71853,                0.53447,                 0.1773,                0.47996,                0.55095,                 0.5017,                0.16569,             5.6044e-05,             5.6044e-05,             5.6044e-05
                     47,                0.66254,                0.53367,                0.16783,                0.75931,                0.67227,                0.71833,                0.52832,                0.14333,                0.46944,                0.57119,                0.49942,                0.17535,             5.5045e-05,             5.5045e-05,             5.5045e-05
                     48,                0.64555,                 0.5412,                0.16009,                 0.7466,                0.67146,                0.72205,                0.50277,                0.14593,                0.45718,                0.58052,                  0.505,                 0.1901,             5.4046e-05,             5.4046e-05,             5.4046e-05
                     49,                0.65579,                0.53431,                0.15886,                0.74626,                0.67782,                0.72419,                0.52288,                0.15589,                 0.4698,                0.55986,                0.49907,                0.17054,             5.3047e-05,             5.3047e-05,             5.3047e-05
                     50,                0.63805,                0.53587,                 0.1553,                0.74014,                0.68133,                0.70987,                0.53312,                0.20713,                0.48195,                0.55285,                0.49415,                0.16332,             5.2048e-05,             5.2048e-05,             5.2048e-05
                     51,                 0.6295,                0.52725,                0.15603,                0.77292,                0.68458,                0.71956,                0.52587,                0.19269,                0.48165,                0.55417,                0.48943,                 0.1696,             5.1049e-05,             5.1049e-05,             5.1049e-05
                     52,                0.63645,                0.52299,                0.15273,                0.76134,                0.68841,                0.72367,                 0.5381,                 0.1756,                0.48383,                0.55197,                0.48887,                0.17365,              5.005e-05,              5.005e-05,              5.005e-05
                     53,                0.61117,                0.52435,                0.14849,                0.77913,                0.68768,                0.73096,                0.52886,                0.19545,                0.48392,                0.54356,                0.48987,                0.16049,             4.9051e-05,             4.9051e-05,             4.9051e-05
