                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.083,                0.32356,                 1.3107,                0.69224,                0.05556,                0.00722,                 0.0001,                      0,                0.00126,                 2.9976,                0.25861,                 1.3552,               0.066741,             3.3292e-05,             3.3292e-05
                      2,                 2.6321,                0.30821,                 1.1044,                0.04239,                0.19632,                0.03966,                0.00466,                  5e-05,                0.01225,                 1.7821,                0.60728,                0.57744,               0.033441,             6.6182e-05,             6.6182e-05
                      3,                 1.7738,                0.49932,                0.59266,                0.46093,                0.15372,                0.09955,                 0.0103,                  1e-05,                0.02885,                 1.5712,                0.65185,                0.51622,             0.00013968,             9.8627e-05,             9.8627e-05
                      4,                 1.5121,                0.65713,                0.52704,                0.52876,                0.23171,                0.16376,                0.03813,                      0,                0.06328,                 1.2641,                0.77209,                0.42023,             9.8002e-05,             9.8002e-05,             9.8002e-05
                      5,                 1.3476,                0.72032,                0.45269,                0.19403,                0.24949,                0.19241,                0.04585,                0.00049,                0.07397,                 1.1044,                0.77937,                0.36677,             9.8002e-05,             9.8002e-05,             9.8002e-05
                      6,                  1.232,                0.77078,                0.38373,                 0.2452,                0.36904,                0.21964,                0.06585,                0.00011,                 0.0864,                 1.0675,                0.82856,                0.34887,             9.7336e-05,             9.7336e-05,             9.7336e-05
                      7,                 1.1216,                0.80415,                0.34079,                0.26367,                0.41673,                0.25965,                0.09052,                0.00101,                0.11183,                0.94125,                0.84836,                0.28389,              9.667e-05,              9.667e-05,              9.667e-05
                      8,                 1.0891,                0.80935,                0.31412,                0.26542,                0.43459,                 0.2793,                0.09027,                0.00737,                 0.1243,                0.87683,                0.87174,                0.26196,             9.6004e-05,             9.6004e-05,             9.6004e-05
                      9,                 1.0139,                 0.8442,                0.29519,                0.27749,                0.46587,                0.30372,                0.13082,                0.00998,                0.14696,                0.82834,                0.87114,                0.23818,             9.5338e-05,             9.5338e-05,             9.5338e-05
                     10,                0.99651,                0.83249,                0.27911,                0.61831,                0.36183,                0.33401,                0.07627,                0.00255,                0.13567,                0.91272,                 0.8251,                0.26125,             9.4672e-05,             9.4672e-05,             9.4672e-05
                     11,                0.98965,                0.81048,                0.26992,                0.32747,                0.46405,                0.32379,                0.11345,                0.00325,                0.14433,                0.83673,                 0.8529,                0.25143,             9.4006e-05,             9.4006e-05,             9.4006e-05
                     12,                0.93825,                0.84092,                0.26264,                0.34154,                0.50437,                0.36809,                0.21687,                0.02199,                0.20296,                0.75172,                 0.8686,                0.21221,              9.334e-05,              9.334e-05,              9.334e-05
                     13,                0.91185,                0.81837,                0.24273,                0.43738,                0.51489,                0.43435,                0.18889,                0.00706,                0.21056,                0.82753,                0.77838,                0.25311,             9.2674e-05,             9.2674e-05,             9.2674e-05
                     14,                0.89319,                0.82153,                0.25016,                0.37275,                0.50593,                 0.4066,                0.17131,                0.01225,                0.20137,                 0.7717,                0.80232,                0.23592,             9.2008e-05,             9.2008e-05,             9.2008e-05
                     15,                0.87327,                 0.8091,                0.23406,                0.42571,                0.53545,                0.46679,                0.22351,                0.01304,                0.24496,                0.74785,                 0.7744,                0.22897,             9.1342e-05,             9.1342e-05,             9.1342e-05
                     16,                0.87399,                0.78095,                 0.2386,                0.54434,                0.53691,                0.51005,                0.24042,                0.01854,                0.25965,                 0.7853,                0.70886,                0.24957,             9.0676e-05,             9.0676e-05,             9.0676e-05
                     17,                 0.8705,                0.74602,                0.23056,                0.55098,                 0.5087,                0.51158,                0.23935,                0.01126,                0.26162,                0.79427,                0.69162,                0.24852,              9.001e-05,              9.001e-05,              9.001e-05
                     18,                0.84969,                0.70641,                0.22597,                0.64674,                0.49685,                 0.5416,                0.30208,                0.03518,                0.29683,                0.78181,                0.64792,                0.24217,             8.9344e-05,             8.9344e-05,             8.9344e-05
                     19,                0.87773,                0.68759,                0.24518,                0.54426,                0.58014,                0.57083,                0.32757,                0.02782,                0.32214,                0.71481,                0.64615,                0.21853,             8.8678e-05,             8.8678e-05,             8.8678e-05
                     20,                 0.8636,                0.66209,                0.23342,                0.52615,                0.62449,                0.59083,                0.37315,                0.02972,                0.34605,                0.70791,                0.61277,                0.22262,             8.8012e-05,             8.8012e-05,             8.8012e-05
                     21,                 0.8319,                0.63938,                0.23391,                0.56485,                0.61964,                0.60156,                0.40305,                0.02113,                 0.3588,                0.71605,                 0.5943,                0.23018,             8.7346e-05,             8.7346e-05,             8.7346e-05
                     22,                0.84242,                0.61164,                0.23436,                0.57442,                0.60806,                 0.6173,                0.41962,                0.03466,                0.37231,                0.68467,                0.58028,                0.21405,              8.668e-05,              8.668e-05,              8.668e-05
                     23,                0.82694,                0.60744,                0.22362,                0.62079,                0.60818,                0.61844,                0.40476,                0.02672,                0.36955,                0.67341,                0.58395,                0.21697,             8.6014e-05,             8.6014e-05,             8.6014e-05
                     24,                0.81089,                0.60642,                 0.2292,                0.62223,                0.63627,                0.62976,                0.38949,                0.02266,                0.36711,                0.67485,                0.58582,                0.21872,             8.5348e-05,             8.5348e-05,             8.5348e-05
                     25,                0.80471,                 0.6215,                0.22224,                 0.6005,                0.60773,                0.64227,                0.42889,                0.02134,                0.38058,                0.66928,                0.61946,                0.22487,             8.4682e-05,             8.4682e-05,             8.4682e-05
                     26,                0.78551,                0.59931,                0.20957,                 0.6892,                0.63906,                0.65372,                0.43114,                0.04959,                0.39482,                0.64722,                0.55033,                0.20857,             8.4016e-05,             8.4016e-05,             8.4016e-05
                     27,                0.77343,                  0.593,                  0.206,                0.63005,                0.62953,                0.65404,                0.45911,                0.04471,                0.39594,                0.65815,                0.53851,                0.20515,              8.335e-05,              8.335e-05,              8.335e-05
                     28,                0.75402,                0.58138,                0.20213,                0.67226,                0.64633,                0.64822,                0.42252,                0.06467,                0.38888,                 0.6639,                0.53546,                0.20492,             8.2684e-05,             8.2684e-05,             8.2684e-05
                     29,                0.75358,                0.58029,                0.19488,                0.69172,                 0.6363,                0.66819,                0.44081,                 0.0636,                0.40086,                0.63182,                  0.551,                0.20592,             8.2018e-05,             8.2018e-05,             8.2018e-05
                     30,                0.73602,                0.58022,                0.19363,                0.66701,                0.63061,                0.67482,                0.41765,                0.05619,                0.39803,                0.65114,                0.54122,                0.21876,             8.1352e-05,             8.1352e-05,             8.1352e-05
                     31,                0.72569,                0.57776,                0.18675,                0.67356,                0.62326,                0.66774,                0.46483,                0.05755,                0.40876,                0.61979,                0.53952,                0.19569,             8.0686e-05,             8.0686e-05,             8.0686e-05
                     32,                0.73694,                0.57206,                0.19436,                0.69275,                 0.6663,                0.67117,                0.45716,                0.03123,                0.39848,                 0.6357,                0.54776,                0.20435,              8.002e-05,              8.002e-05,              8.002e-05
                     33,                 0.7105,                0.56696,                0.18742,                0.68977,                0.65221,                0.67198,                0.48492,                 0.0902,                0.42693,                0.60648,                0.52265,                0.18833,             7.9354e-05,             7.9354e-05,             7.9354e-05
