,px,black spot,scratch,wool,all
0,0.0,0.018740926488055955,0.014734206471494605,0.010097665949346132,0.014524266302965563
1,0.001001001001001001,0.018740926488055955,0.014734206471494605,0.010097665949346132,0.014524266302965563
2,0.002002002002002002,0.018740926488055955,0.014734206471494605,0.010097665949346132,0.014524266302965563
3,0.003003003003003003,0.018740926488055955,0.014734206471494605,0.010097665949346132,0.014524266302965563
4,0.004004004004004004,0.018763097515888318,0.014744789671029504,0.010101275834145487,0.01453638767368777
5,0.005005005005005005,0.020329577408445855,0.015345427386869951,0.010609188657910381,0.015428064484408732
6,0.006006006006006006,0.02522666935015905,0.01710364148907103,0.013168800818567805,0.01849970388593263
7,0.007007007007007007,0.030976754867158552,0.019078299882982087,0.01750268068786695,0.022519245146002526
8,0.008008008008008008,0.03856157935958257,0.021272389804331764,0.021216257563060448,0.02701674224232493
9,0.009009009009009009,0.045264065753597434,0.02349997079764506,0.023367698587797917,0.030710578379680137
10,0.01001001001001001,0.05172104829232283,0.025742419234624923,0.02459760513871421,0.034020357555220655
11,0.011011011011011011,0.056931389188786374,0.027764014802640916,0.025482619947152816,0.0367260079795267
12,0.012012012012012012,0.06182074844895706,0.029821867203527377,0.02615319986991012,0.039265271840798185
13,0.013013013013013013,0.06624379468540666,0.03168294185221932,0.026764956904586003,0.04156389781407066
14,0.014014014014014014,0.07110880927306441,0.03339561617169725,0.027473476803156916,0.04399263408263953
15,0.015015015015015015,0.07565275825686517,0.03515223562884419,0.028257099776835642,0.04635403122084833
16,0.016016016016016016,0.07957202424829257,0.0367695937254906,0.02907173752615957,0.04847111849998092
17,0.017017017017017015,0.08401265460971037,0.03860982834235904,0.03007834770674018,0.050900276886269864
18,0.018018018018018018,0.08833357454871005,0.040352966740455125,0.030993197880155407,0.05322657972310687
19,0.01901901901901902,0.09299716662522158,0.042424246171410315,0.03208998309343946,0.05583713196335712
20,0.02002002002002002,0.0979313951805195,0.044567503048752295,0.03333486752330197,0.058611255250857926
21,0.02102102102102102,0.10246481639161428,0.04682706001364031,0.03477487019612011,0.06135558220045823
22,0.022022022022022022,0.10732148510994013,0.04924162355822302,0.03623682118643322,0.06426664328486546
23,0.023023023023023025,0.11150134985751894,0.05158415288515068,0.03792248463751007,0.06700266246005991
24,0.024024024024024024,0.11613070110980253,0.0544239903381386,0.03989801780232492,0.07015090308342202
25,0.025025025025025023,0.1205781012790673,0.05723563182960319,0.04183109895662831,0.07321494402176627
26,0.026026026026026026,0.12502259015534548,0.060028371755235524,0.044149067307527885,0.07640000973936963
27,0.02702702702702703,0.13017436907811827,0.06318803270946799,0.04688398845406417,0.08008213008055014
28,0.028028028028028028,0.13480682371033378,0.0662378044498371,0.049646343552717014,0.0835636572376293
29,0.029029029029029027,0.13886591261803904,0.06941705885465911,0.052688189117385154,0.0869903868633611
30,0.03003003003003003,0.14298387999565237,0.07266271916283829,0.05584433189028386,0.09049697701625818
31,0.031031031031031032,0.14854818909195475,0.07610354708774875,0.05937119909485038,0.09467431175818462
32,0.03203203203203203,0.15226354515662344,0.0792092095006944,0.06275760805456566,0.09807678757062784
33,0.03303303303303303,0.15735931692152794,0.08284181561951631,0.06644890186571288,0.10221667813558571
34,0.03403403403403403,0.16196705204237735,0.08676208107348325,0.07046147949074621,0.10639687086886894
35,0.035035035035035036,0.1659376874081222,0.09019934296734126,0.07425929949969254,0.11013210995838534
36,0.036036036036036036,0.1691188243713314,0.0948664976889198,0.07824940131282664,0.11407824112435928
37,0.037037037037037035,0.17161791615319683,0.09931243555015372,0.08207269479325466,0.11766768216553507
38,0.03803803803803804,0.17715165342994404,0.1034882829592713,0.08625739067004273,0.1222991090197527
39,0.03903903903903904,0.18132061738947228,0.10724589034220172,0.09002930146708013,0.12619860306625139
40,0.04004004004004004,0.185081168182738,0.11185617306439337,0.09424367944839876,0.13039367356517673
41,0.04104104104104104,0.19061925122789705,0.11576048951193726,0.09781805249020217,0.13473259774334548
42,0.04204204204204204,0.19533373802168172,0.12168531336850465,0.10148203993080386,0.1395003637736634
43,0.043043043043043044,0.19959584101417419,0.12692591758729174,0.10567793662328429,0.14406656507491675
44,0.044044044044044044,0.20426078463596786,0.13157961820758945,0.10893396207652396,0.14825812164002708
45,0.04504504504504504,0.2089423678968632,0.13519195309892457,0.11279151099166573,0.1523086106624845
46,0.04604604604604605,0.21564234706815993,0.1403041768677488,0.11629544195298896,0.15741398862963257
47,0.04704704704704705,0.22023440255511226,0.1456319521771161,0.11949724099515378,0.16178786524246072
48,0.04804804804804805,0.22653263671316962,0.1506551178226454,0.1230747566873685,0.16675417040772786
49,0.04904904904904905,0.23021908153125245,0.15654608157790842,0.12643853792402604,0.17106790034439565
50,0.050050050050050046,0.23441656826037313,0.16361796825798164,0.13001463746321695,0.17601639132719057
51,0.05105105105105105,0.2376966371170078,0.16913448701401973,0.13334836191871893,0.1800598286832488
52,0.05205205205205205,0.24239448111937714,0.1772815954599595,0.1368833486777988,0.18551980841904514
53,0.05305305305305305,0.2468791241015775,0.18263534166944734,0.13973579565697747,0.18975008714266742
54,0.05405405405405406,0.2496257146618429,0.1901855475818139,0.14332419765866486,0.19437848663410726
55,0.055055055055055056,0.25282424363820327,0.19531139442551587,0.14647465366303083,0.19820343057558332
56,0.056056056056056056,0.2564386254934574,0.20283999556157137,0.1497611761160927,0.20301326572370715
57,0.057057057057057055,0.2611652809014768,0.208631004523924,0.15322539151339776,0.20767389231293285
58,0.058058058058058054,0.26470202702374757,0.2141390664095968,0.155644086667329,0.21149506003355778
