                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.8252,                 1.6348,                 1.6844,                0.56725,                0.57772,                0.62063,                0.32646,                0.02931,                 0.3304,                 1.7608,                 1.4431,                 1.6491,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.8269,                  1.614,                 1.6774,                0.67707,                0.43745,                0.53768,                0.25473,                0.01304,                0.27357,                  1.989,                 1.6669,                 1.8203,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.8072,                 1.5967,                 1.6482,                0.59867,                0.61317,                0.63798,                0.40047,                0.02249,                0.36293,                 1.6538,                 1.3505,                 1.5594,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.7693,                 1.5554,                 1.6385,                 0.6561,                0.62204,                 0.6702,                0.39677,                0.04555,                0.38171,                 1.6647,                 1.2978,                 1.5589,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.7793,                 1.5384,                 1.6338,                0.61225,                 0.5863,                0.63453,                 0.2992,                0.03323,                0.32389,                 1.8204,                 1.4098,                 1.6574,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.7744,                 1.5452,                 1.6394,                0.67083,                0.58862,                0.66287,                0.36535,                0.02509,                0.36417,                 1.6961,                 1.3118,                 1.5636,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.7524,                  1.527,                 1.6266,                  0.681,                0.60688,                0.66184,                0.47878,                0.05834,                0.41641,                 1.5588,                 1.2394,                 1.4785,               0.000948,               0.000948,               0.000948
                     37,                 1.7501,                 1.5235,                 1.6168,                0.54614,                0.56714,                0.59619,                 0.2763,                0.04038,                0.30271,                 1.9016,                 1.4718,                 1.7946,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.7155,                 1.4856,                 1.5899,                0.68928,                0.59058,                0.66318,                0.38326,                0.04975,                0.38025,                 1.6854,                 1.2602,                 1.5596,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.7227,                 1.4893,                 1.5945,                0.70116,                0.63668,                 0.6755,                0.46627,                0.07337,                0.41647,                 1.5499,                 1.2179,                 1.4776,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.6863,                 1.4496,                   1.58,                0.69411,                0.63297,                0.68455,                0.42784,                0.07628,                 0.4169,                 1.5754,                 1.2179,                 1.5102,             0.00089141,             0.00089141,             0.00089141
